 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"He then shared a longer post picturing the two of them arm in arm, urging his followers to stand up to Senate Majority Leader Mitch McConnell (R-Ky.) and apply pressure to GOP senators to bring the Equality Act up for a Senate vote:","Poté sdílel delší příspěvek zobrazující oba, jak se drží za ruce, a naléhal na své stoupencey, aby se postavili před lídra většiny v senátu Mitche McConnella (Rep.-Ky.) a vyvinuli nátlak na senátory GOP, aby zákon o rovnosti prošel hlasováním v Senátu:","Poté sdílel delší příspěvek ukazující je ruku v ruce, a nabádal své sledující, aby se postavili lídrovi senátní většiny Mitchovi McConnellovi (republikáni, Kentucky) a vyvinuli tlak na demokratické senátory, aby předložili Zákon o rovnosti k hlasování v Senátu:","Poté sdílel mnohem delší příspěvek obou dvou ruku v ruce, urgující své followery, aby se postavili vůdci Senátní většiny Mitchi McConnellu (R-Ky.) a aby vytvořili tlak na senátory, aby přednesli zákon senátu k odhlasování.","Poté sdílel delší příspěvek, na němž jsou do sebe zavěšeni. Vyzval přitom své fanoušky, aby se postavili vůdci většiny v Senátu Mitchi McConnellovi (republikáni, Kentucky) a zatlačili na republikánské senátory, aby zákon o rovnosti předložili k hlasování v Senátu:",,"dvojtečka v originále, protože následuje ukázka z instagramu

P1 a P3 mimořádně nepovedené

GOP odkazuje na republikány, P1, P2 ani P3 nepřevádí adekvátně","dvojtečka v originále, protože následuje ukázka z instagramu

D: Věrko, být zavěšeni asi není ideální, teď mě nic lepšího nenapadá, viz fotka na stejném odkazu jako předchozí komentář, ruku v ruce ale asi snad ne (?)
V: ony jsou tam celkem tři takové fotky: na první jsou do sebe zavěšeni, na druhé jsou fakt ruku v ruce, na druhé jdou a diskutují... ale asi to budeme mířit na tu první, ještě se říká ""držet se někoho za rámě"" (na němž se drží za rámě), ovšem tomu možná už mlaďoši nebudou rozumět :), ale zavěšeni mi nevadí, jen bych dala pryč to ""oba"" (aha, teď vidím, že na tu druhou fotku míří řádek 640, takže to potvrzuje, že zde opravdu ne ruku v ruce)

P1 a P3 mimořádně nepovedené

GOP odkazuje na republikány, P1, P2 ani P3 nepřevádí adekvátně"
Pelosi introduced the Equality Act on March 13. The House passed the legislation in May. It has not yet been brought to the Senate floor.,Pelosiová přednesla návrh zákona o rovnosti 13. března. Parlament zákon v květnu schválil. Dosud neprošel hlasováním v Senátu.,Pelosiová představila Zákon o rovnosti 13. března. Sněmovnou reprezentantů prošel zákon v květnu. Na půdě Senátu ještě nebyl představen.,Pelosi představila zákon o rovnosti 13. března. Bílý dům schválil legislativu v květnu. Zatím se nepřednesl senátu.,Pelosiová přednesla návrh zákona o rovnosti 13. března. Sněmovna reprezentantů zákon v květnu schválila. Senát se návrhem dosud nezabýval.,"Pelosi návrh zákona o rovnosti představila 13. března. Dolní komora Kongresu zákon odhlasovala v květnu, Senát se návrhem dosud nezabýval.",,
"In August, the Trump administration asked the Supreme Court to essentially legalize anti-gay discrimination in the workplace, arguing in an amicus brief that the federal laws on employer discrimination in the Civil Rights Act of 1964 were not intended to protect individuals from being fired based on their sexual orientation.","V srpnu požádala Trumpova administrativa Nejvyšší soud, aby de facto legalizoval diskriminaci gayů na pracovišti, přičemž formou amicus brief tvrdila, že federální zákony o diskriminaci zaměstnavatelů v zákoně o občanských právech z roku 1964 neměly za cíl chránit jednotlivce před propuštěním kvůli jejich sexuální orientaci.","V srpnu Trumpova administrativa požádala Nejvyšší soud, aby v podstatě legalizoval diskriminaci zaměřenou proti homosexuálům na pracovišti, kdy argumentovala stanoviskem třetí strany, že federální zákony o diskriminaci zaměstnavatele v Zákoně o občanských právech z roku 1964 nebyly určeny k tomu, aby chránily jednotlivce proti propuštění na základě jejich sexuální orientace.","Trumpova vláda v srpnu požádala nejvyšší soud, aby v zásadě zlegalizoval anti-homosexuální diskriminaci na pracovištích. V prohlášení argumentuje, že federální zákony ohledně diskriminace ze strany zaměstnavatele v zákoně o občanských právech z roku 1964 nebyly určené k tomu, aby chránily osoby před vyhazovem z důvodu jejich sexuální orientace.","V srpnu Trumpova administrativa požádala Nejvyšší soud, aby de facto legalizoval diskriminaci gayů a leseb na pracovišti, přičemž jako amicus curiae argumentovala tím, že federální legislativa o diskriminaci zaměstnanců obsažená v zákoně o občanských právech z roku 1964 neměla za cíl chránit jednotlivce před propuštěním kvůli jejich sexuální orientaci.","V srpnu Trumpova administrativa požádala Nejvyšší soud, aby v podstatě legalizoval diskriminaci homosexuálů ze strany zaměstnavatelů. V dopise, jejž vláda napsala jako amicus curiae, takzvaný přítel soudu, se uvádí, že federální legislativa o diskriminaci ze strany zaměstnavatelů obsažená v zákoně o občanských právech z roku 1964 neměla za cíl chránit jednotlivce před propuštěním kvůli jejich sexuální orientaci.",,
"Pelosi met earlier this year with Van Ness and three of his ""Queer Eye"" co-stars as well as Rep. Alexandria Ocasio-Cortez (D-N.Y.), to talk policy and promote the bill.","Pelosiová se začátkem tohoto roku setkala s Van Nessem a třemi jeho hvězdnými kolegy z „Queer Eye“, a také s Alexandrem Ocasio-Cortezem (D-N.Y.), aby debatovali o politice a podpořili návrh zákona.","Pelosiová se dříve setkala s Van Nessem a třemi jeho spoluúčinkujícími z ""Queer Eye"", stejně jako s republikánkou Alexandrií Ocasio-Cortezovou (demokraté, New York), aby s ní probrala zásady a podpořila návrh zákona.","Pelosi se dříve tohoto roku setkala s Vanem Nessem a se třemi dalšími spoluhvězdami seriálu ""Queer tým"" spolu s Rep. Alexandria Ocasio-Cortez (D-N.Y.), aby probrali politiku a podpořili zákon.","Pelosiová se před několika měsíci setkala s Van Nessem a třemi jeho hvězdnými kolegy z „Queer Eye“, a také s členkou Sněmovny reprezentantů Alexandrií Ocasiovou-Cortezovou (demokraté, New York), aby debatovali o politice a podpořili návrh zákona.","Pelosi se letos již jednou sešla s Van Nessem a třemi jeho spoluúčinkujícími z „Queer Eye“. Cílem schůzky, jíž se účastnila i demokratická kongresmanka za stát New York Alexandria Ocasio-Cortez, bylo nejen diskutovat o politice, ale také podpořit zmíněný návrh zákona.","Rep. Alexandria Ocasio-Cortez převedeno chybně: P1 opačný rod, P2 opačná politická příslušnost (navíc nekoherentní s navazující závorkou), P3 ponechána zkratka českému čtenáři zcela nesrozumitelná","Rep. Alexandria Ocasio-Cortez převedeno chybně: P1 opačný rod, P2 opačná politická příslušnost (navíc nekoherentní s navazující závorkou), P3 ponechána zkratka českému čtenáři zcela nesrozumitelná

D: opět starý problém earlier this year (bylo to 4. dubna, to přece už není začátek roku, proto různě obcházím)
V: pěkně přecházíš, jen v N2 možná spíš: se letos již jednou sešla (to ""již letos"" je nejasné)

D: Text jsi vybrala nádherný, vyřádil jsem se a zase to byla přehlídka neschopnosti ostatních - proboha, jak může být někdo tak blbej???
V: zaujal mě hlavně těmi nepovedenými překlady, chtěla jsem ho blíže prozkoumat z toho hlediska, zda zde i P3 neměl jako podklad stroj, ale ještě jsem se k tomu nedostala
D: zcela jasné je to v 638 anti-homosexuální diskriminace + před vyhazovem"
"On Thursday, Pelosi shared her own image of herself and Van Ness warmly holding hands on a balcony, thanking him for bringing his voice to the fight:","Ve čtvrtek Pelosiová sdílela svou vlastní fotku, jak se s Van Nessem vřele drží za ruce na balkóně a děkuje mu za to, že přispěl svým hlasem k politickému boji:","Ve čtvrtek Pelosiová sdílela svoji vlastní fotografii s Van Nessem, jak se srdečně drží za ruce na balkóně a děkuje mu za to, že přispěl svým hlasem do boje:","Ve čtvrtek Pelosi sdílela fotku jí a Vana Nesse držících se vřele za ruce na balkóně, kde mu děkuje za to, že do boje přidal svůj hlas.","Ve čtvrtek sdílela také Pelosiová svou vlastní fotografii s Van Nessem, na níž se na balkóně přátelsky drží za ruce, a poděkovala mu za to, že svým hlasem přispěl k boji:","Ve čtvrtek sdílela také Pelosi svoji vlastní fotografii s Van Nessem na balkóně, na které se jako přátelé drží za ruce. Zároveň mu poděkovala za to, že se přidal k boji za větší rovnoprávnost:","dvojtečka v originále, protože následuje ukázka z instagramu

N2 explicitace the fight s využitím kontextu","dvojtečka v originále, protože následuje ukázka z instagramu

N2 explicitace the fight s využitím kontextu
V: nedáme to ""na balkóně"" někam víc dopředu? i klidně do té hlavní věty? fotografii s Van Nessem na balkóně? (myslím, že by to nemělo být na konci, určitě ne za tím, že se drží za ruce)
V: ""srdečně"" drží za ruce, to se mi nechce pustit :-), nestačilo by něco jako ""fotografii s Van Nessem na balkóně, jak se drží za ruce""? příp. to ""přátelsky"" tam je OK"
,,,,,,,
,,,,,,,
cnbc.com.33901,,,,,,,
"Tesla jumps on report Musk aims to deliver 100,000 cars this quarter","Tesla reagovala na zprávu, že Musk má v plánu dodat 100 000 automobilů za toto čtvrtletí","Tesla poskočila po zprávě, že Musk má v úmyslu dodat 100 000 aut v tomto čtvrtletí.","Společnost Tesla vydala zprávu, že Musk chce v tomto čtvrtletí dodat 100 000 aut","Akcie Tesly prudce vzrostly kvůli zprávě, že Musk hodlá v tomto čtvrtletí dodat 100 000 aut",,"P2 nepochopeno jump a nadbývá tečka
N1 explicitace podmětu jump na akcie v souladu s územ českého zpravodajství",
"Elon Musk, co-founder and chief executive officer of Tesla Motors.","Elon Musk, spoluzakladatel a generální ředitel společnosti Tesla Motors.","Elon Musk, spoluzakladatel a generální ředitel Tesla Motors,","Elon Musk, spoluzakladatel a generální ředitel společnosti Tesla Motors.","Elon Musk, spoluzakladatel a generální ředitel společnosti Tesla Motors.",,popisek k fotografii,
"Shares of Tesla jumped more than 5% after Electrek, an electric vehicle news website, reported that CEO Elon Musk said the company ""has a shot"" at delivering 100,000 cars this quarter, which would be a new record.","Akcie společnosti Tesla vzrostly o více než 5% poté, co webové stránky Electrek o elektromobilech uvedly, že její generální ředitel Elon Musk prohlásil, že společnost „má šanci“ dodat 100 000 vozů za toto čtvrtletí, což by byl nový rekord.","Akcie Tesly poskočily o více než 5 % poté, co Electrek, nová webová stránka o elektromobilech, uvedla, že generální ředitel Elon Musk řekl, že společnost ""má nakročeno"" k tomu, aby dodala 100 000 aut v tomto čtvrtletí, což by byl nový rekord.","Akcie společnosti Tesla poskočily o více než 5% poté, co zpravodajský web o elektrických vozidlech Electrek uvedl, že generální ředitel Elon Musk uvedl, že společnost „má šanci“ na dodávku 100 000 automobilů v tomto čtvrtletí, což by byl nový rekord.","Akcie Tesly poskočily o více než 5 % poté, co Electrek, webový zpravodajský server věnovaný elektromobilům, uvedl, že její generální ředitel Elon Musk prohlásil, že společnost „má šanci“ dodat v tomto čtvrtletí 100 000 vozů, což by byl nový rekord.","Akcie Tesly vzrostly o více než pět procent poté, co internetový zpravodajský server Electrek věnovaný elektromobilům přišel s informací, že její generální ředitel Elon Musk prohlásil, že společnost „má nakročeno“ k tomu, aby během tohoto čtvrtletí dodala na trh rekordních 100 tisíc aut.",,
"Electrek attributed the update to a leaked email from Musk sent to his employees at Tesla. Musk wrote in the email: ""We have a shot at achieving our first 100,000 vehicle delivery quarter, which is an incredibly exciting milestone for our company!""","Electrek zveřejnil zprávu na základě e-mailu od Muska zaslaný zaměstnancům Tesly, který se dostal na veřejnost. Musk v e-mailu napsal: „Máme šanci vyrobit prvního 100 000 vozů, což je pro naši společnost neuvěřitelně významný milník!“","Electrek připisuje aktualitu uniklému e-mailu od Muska, poslaného jeho zaměstnancům v Tesle. Musk v e-mailu psal: ""Máme nakročeno k tomu, abychom dosáhli našeho prvního čtvrtletí, kdy dodáme 100 000 vozů, což je neuvěřitelně vzrušující milník pro naši společnost!""","Electrek připisoval aktualizaci uniklému e-mailu od Muska zaslaného jeho zaměstnancům v Tesle. Musk v e-mailu napsal: „Máme šanci dosáhnout našeho prvního 100 000 čtvrletí dodávek vozidel, což je pro naši společnost neuvěřitelný milník!“","Podle Electreku pocházejí nejnovější informace z e-mailu, který Musk zaslal zaměstnancům Tesly a jehož obsah unikl na veřejnost. Musk v e-mailu napsal: „Máme nakročeno k tomu, abychom poprvé dosáhli 100 000 dodaných vozů za jedno čtvrtletí, což je pro naši společnost neuvěřitelně významný milník!“",,,
"The CEO also reportedly added, ""The challenge is making sure that we have the right car variants in the right locations and rallying as much as our company resources as possible to help with the end of the quarter deliveries.""","Generální ředitel Musk také údajně dodal: „Výzvou pro nás je zajistit, abychom dodali správné verze automobilů na správná místa a shromáždili co nejvíce firemních zdrojů, díky kterým by dodávky byly hotové do konce čtvrtletí.“","Generální ředitel poté údajně dodal, ""Výzva je zajistit, abychom měli ty správné varianty aut na správných místech a spoléhat se co nejvíce na naše firemní zdroje, aby pomohly s dodávkami na konci čtvrtletí.""","Generální ředitel také údajně dodal: „Úkolem je zajistit, abychom měli správné varianty automobilů na správných místech a shromáždili co nejvíce zdrojů naší společnosti, abychom pomohli s dodávkami do konce čtvrtletí.“","Šéf Tesly údajně rovněž prohlásil: „Naším hlavním úkolem je postarat se, abychom dodali správné verze automobilů na správná místa a zmobilizovali co nejvíce firemních zdrojů, které by nám na konci čtvrtletí pomohly s dodávkami.“",,P1 nepochopeno end of the quarter,
